Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts wildtype Replicate 1	Raw Counts wildtype Replicate 2	Raw Counts wildtype Replicate 3	Raw Counts wildtype Replicate 4	Normalized Counts wildtype Replicate 1	Normalized Counts wildtype Replicate 2	Normalized Counts wildtype Replicate 3	Normalized Counts wildtype Replicate 4	RPKM wildtype	Expression wildtype	Raw Counts TopA_depletion Replicate 1	Raw Counts TopA_depletion Replicate 2	Raw Counts TopA_depletion Replicate 3	Raw Counts TopA_depletion Replicate 4	Normalized Counts TopA_depletion Replicate 1	Normalized Counts TopA_depletion Replicate 2	Normalized Counts TopA_depletion Replicate 3	Normalized Counts TopA_depletion Replicate 4	RPKM TopA_depletion	Expression TopA_depletion	pValue wildtype vs TopA_depletion	qValue wildtype vs TopA_depletion	

1928871	1928841	1928593	1928583	-	-	SCO1800	hypothetical protein	4	5	3	4	8970	8977	7219	9024	13	34	17	14	11	9	16481	11615	16932	12168	30	57	0,142763063	0,359234632	

1929644	1929643	1929011	1929011	-	-	SCO1801	two component response regulator	11	19	16	17	21920	30970	35168	35780	19	48	29	29	22	26	27320	23938	33721	34239	24	47	0,414872966	0,853369599	

1930823	1930823	1929645	1929645	-	-	SCO1802	two-component system sensor kinase	23	42	22	17	45024	68441	48697	34338	16	41	49	43	25	42	45047	36075	38090	54218	19	36	0,337694821	0,722619687	

	1931041	1931736		+	-	SCO1803	oxidoreductase	0	0	0	1	281	0	2089	2139	0	1	7	5	1	4	6763	4880	2427	5226	3	6	1,03E-06	1	

	1931736	1932812		+	-	SCO1804	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	1	0	2	0	3184	0	4753	0	0	1	2	6	6	4	2143	5298	9786	6063	2	5	0,00107558	1	

	1933166	1933900		+	-	SCO1805	hypothetical protein	1	0	5	0	2261	1480	10646	1553	2	5	5	5	8	10	5460	4367	13442	13534	6	12	0,011061565	1	

1936680	1936657	1934027	1934024	-	-	SCO1806	ABC transporter ATP-binding protein	288	332	349	303	562790	540744	740804	612596	91	233	782	879	463	566	717330	724290	696742	726482	145	272	0,991223985	1	

1936844	1936844	1938898	1938898	+	-	SCO1807	hypothetical protein	6	9	7	6	12891	15477	16598	12410	2	6	70	74	29	34	64455	61486	43776	44498	14	26	3,01E-17	5,33E-16	

1939010	1939010	1940242	1940304	+	-	SCO1808	phosphoserine phosphatase	80	126	74	86	157625	206113	157908	175197	56	141	366	361	143	233	336050	297917	214834	299097	126	232	0,021498143	0,072233762	

1940832	1940832	1940314	1940303	-	-	SCO1809	hypothetical protein	65	64	32	56	128210	105438	68475	114996	79	200	106	153	64	98	97260	126724	96989	126341	115	215	0,719502439	1	

1941131	1941131	1940925	1940917	-	-	SCO1810	hypothetical protein	9	11	12	15	18105	18799	26463	31779	44	114	34	29	9	15	31163	24521	13977	20512	60	108	0,332705513	0,713725797	

1941431	1941431	1941315	1941132	-	-	SCO1811	hypothetical protein	11	11	14	13	22357	18912	30870	28011	83	213	46	35	18	25	43014	29021	27096	32493	151	281	0,391342676	0,813299444	

1942850	1942781	1941516	1941516	-	-	SCO1812	integral membrane transporter	20	34	29	29	39627	55691	61681	59605	16	42	110	127	57	60	101135	105393	85974	78005	39	73	0,007104412	0,027357572	

1942957	1942957	1943649	1943665	+	-	SCO1813	GntR family transcriptional regulator	12	14	21	18	24026	23650	44934	36431	18	46	59	50	27	46	54207	41737	41787	59292	37	71	0,044269015	0,133461266	

1944510	1944505	1943738	1943725	-	-	SCO1814	enoyl-ACP reductase	332	353	340	298	649053	574555	721907	602381	323	829	310	474	275	288	284401	391274	413195	369891	250	474	1,08E-05	7,24E-05	

1945278	1945215	1944511	1944511	-	-	SCO1815	3-oxacyl-ACP reductase	296	374	277	290	577642	608148	588927	585877	329	837	310	527	308	370	284850	434444	462656	475515	308	587	0,002225613	0,00958244	

1945466	1945493	1947016		+	-	SCO1816	hypothetical protein	24	18	23	13	48733	30552	48776	26328	9	25	54	116	25	34	50293	95670	38008	44603	21	37	0,0650864	0,186259277	

	1947013	1948407	1948434	+	-	SCO1817	hypothetical protein	13	24	21	12	25861	40093	46617	25081	9	24	46	78	40	24	42394	64690	60613	31720	19	35	0,084909341	0,233848678	

1948435	1948453	1949721	1949992	+	-	SCO1818	tyrosyl-tRNA synthetase	179	197	198	211	351043	321462	420075	427053	116	299	1066	1026	502	549	977046	845496	755085	705144	349	646	7,09E-05	4,11E-04	

1950093	1950093	1949812	1949776	-	-	SCO1819	hypothetical protein	0	0	0	1	0	1335	2000	3609	2	6	19	15	11	13	17669	13150	17639	17072	30	58	4,21E-50	1,90E-48	

1950275	1950275	1950754	1951198	+	-	SCO1820	hypothetical protein	115	145	91	96	226201	237221	194186	195180	175	444	178	238	101	143	163247	196613	151800	183946	195	362	0,035540279	0,110617193	

1952251	1952245	1951220	1950947	-	moaA	SCO1821	molybdenum cofactor biosynthesis protein A	328	398	212	280	641733	647204	449321	566527	222	561	411	652	337	392	376960	537486	507015	503708	249	469	0,037978128	0,117039397	

	1954012	1952378		-	-	SCO1822	transmembrane transport protein	4	5	0	2	8358	9226	1346	4949	1	3	7	8	4	10	7278	7293	6583	13475	2	5	0,47384815	1	

	1954383	1954009		-	-	SCO1823	hypothetical protein	0	2	0	0	1727	4384	0	1935	2	5	0	0	0	3	649	0	699	3925	1	3	0,079381236	1	

1954679	1954737	1956275	1956279	+	-	SCO1824	subtilisin-like protease	64	73	36	41	125220	120167	76527	83607	26	65	140	217	91	127	128471	179025	137569	163047	53	98	0,097148618	0,261112888	

1956286	1956291	1956929	1956929	+	-	SCO1825	hypothetical protein	4	8	7	8	8552	13973	15261	17694	8	21	39	53	20	28	36088	44122	30916	36161	31	57	4,43E-07	3,56E-06	

1956980	1956980	1957987	1958099	+	-	SCO1826	hypothetical protein	23	16	29	25	45189	26144	62345	50851	17	45	97	90	52	38	89585	74819	79432	49595	39	72	0,018152231	0,062335998	

1958139	1958139	1959125	1959125	+	-	SCO1827	DNA polymerase III subunit epsilon	32	40	40	35	63236	66068	86510	71169	28	72	271	257	110	142	249262	212103	165839	182686	111	205	3,19E-12	3,92E-11	

1959126	1959189	1959422	1959460	+	-	SCO1828	hypothetical protein	3	1	2	3	7445	2839	5476	8065	9	25	28	17	9	13	26399	14500	14518	17084	41	77	1,70E-06	1,28E-05	

1959486	1959486	1960358	1960380	+	-	SCO1829	hypothetical protein	149	186	170	156	291175	303266	362285	315852	142	364	307	431	185	279	281819	355335	278958	358436	196	364	0,361806717	0,765989611	

	1960424	1962211		+	-	SCO1830	hypothetical protein	24	35	22	21	46956	57807	47697	42496	10	27	63	56	38	27	57863	46655	57540	35628	14	27	0,832241901	1	

1962217	1962217	1962972	1963369	+	-	SCO1831	oxidoreductase	103	117	66	78	201446	190242	140338	158740	90	228	137	204	96	122	126137	168536	144660	156843	105	197	0,101223389	0,270013076	

	1963594	1963007	1963007	-	-	SCO1832	hypothetical protein	9	10	6	5	18833	17721	14697	11759	10	26	29	22	10	11	27473	18292	15389	15057	17	32	0,830040729	1	

1964112	1964112	1963591		-	-	SCO1833	hypothetical protein	3	6	7	5	7523	11085	15450	10512	8	21	17	12	7	7	16223	10315	10925	9380	12	22	0,558049789	1	

	1964651	1964268	1964113	-	-	SCO1834	hypothetical protein	4	9	7	5	9610	15107	15153	10131	12	32	20	22	10	13	18810	18511	16295	17242	24	46	0,389877653	0,811384923	

1964836	1964833	1964648		-	-	SCO1835	hypothetical protein	10	14	3	4	20920	23360	7378	8121	32	80	21	26	7	12	19679	21649	11329	16533	51	92	1	1	

1965380	1965378	1964896	1964896	-	-	SCO1836	stress-like protein	20	25	11	14	39966	40680	25393	29360	27	70	39	36	23	21	36055	29787	35793	27782	35	66	0,407913285	0,842168923	

	1965466	1966254		+	-	SCO1837	hypothetical protein	2	3	2	1	5669	5735	5635	2037	2	6	13	6	4	7	12796	5079	6769	9883	5	10	0,119374365	1	

1967202	1967078	1966275	1966098	-	-	SCO1838	enoyl-CoA hydratase/isomerase	48	59	41	46	95049	96613	87382	94808	45	116	113	134	62	59	103746	111077	94424	76447	65	119	0,574211971	1	

1967477	1967457	1967236	1967204	-	-	SCO1839	transcriptional regulator	67	92	50	55	132676	150703	108012	112977	225	567	131	121	56	91	120963	100157	85021	117606	256	477	0,060981487	0,176555136	

1969421	1969392	1967794	1967742	-	-	SCO1840	ABC transporter ATP-binding protein	71	105	82	88	139646	171080	173794	178639	40	103	225	230	127	142	206844	189837	191228	182558	64	120	0,861506105	1	

1969468	1969468	1970052	1970352	+	-	SCO1841	hypothetical protein	85	108	60	62	167440	176703	128384	126439	101	255	170	170	87	128	156517	140235	131911	165057	135	253	0,404892471	0,836738709	

1971428	1971428	1970085	1970004	-	-	SCO1842	hypothetical protein	49	40	21	29	97388	65457	46518	58591	19	49	24	52	20	42	22867	43496	30745	55003	15	28	6,94E-05	4,03E-04	

	1972880	1971753		-	-	SCO1843	hypothetical protein	5	6	4	2	9989	9781	10220	5702	3	7	14	6	2	1	13669	5621	3950	2396	3	5	0,03439111	1	

1973765	1973717	1972995	1972995	-	-	SCO1844	aldolase	5	6	8	5	10329	10312	17282	10577	6	16	45	39	12	28	42026	32564	18668	36337	24	44	2,32E-06	1,72E-05	

1973928	1973943	1975214	1975214	+	-	SCO1845	low-affinity phosphate transport protein	157	214	98	119	307038	347888	209695	241436	86	217	87	78	48	61	80382	64537	72944	79224	30	58	1,70E-38	6,18E-37	

1975238	1975249	1975470	1975470	+	-	SCO1846	hypothetical protein	19	20	11	10	37773	32620	24482	21564	51	131	10	12	4	9	9593	10609	7317	11600	23	44	6,21E-15	9,22E-14	

1975665	1975869	1976852		+	cobD	SCO1847	cobalamin biosynthesis protein	94	88	105	101	184020	144332	223828	204781	74	192	250	184	85	93	229316	152222	128688	119721	87	160	0,053465116	0,157852901	

	1976849	1978357		+	-	SCO1848	cobyric acid synthase	215	259	281	245	419629	421567	597583	495943	124	320	271	320	160	173	249176	264264	240449	223248	87	161	1,43E-07	1,21E-06	

	1978354	1982007		+	cobN	SCO1849	cobaltochelatase subunit CobN	780	1077	736	751	1523289	1750197	1560651	1517573	171	434	552	763	378	407	506147	629166	568170	523488	81	152	3,39E-15	5,16E-14	

	1982004	1984022		+	-	SCO1850	chelatase	299	348	251	310	583817	566197	532554	626914	112	285	214	251	113	148	196778	207206	170365	190742	51	94	1,42E-22	3,15E-21	

	1984022	1984621		+	-	SCO1851	cob(I)yrinic acid a,c-diamide adenosyltransferase	224	288	136	140	437433	469077	289967	282882	244	616	102	159	54	78	94138	131265	81942	100310	93	169	3,70E-37	1,29E-35	

	1984618	1986078		+	-	SCO1852	cobyrinic acid a,c-diamide synthase	211	341	229	224	413056	554227	485946	453698	129	326	213	282	143	165	196100	232386	216260	211946	78	146	1,98E-10	2,16E-09	

	1986075	1986806	1986806	+	-	SCO1853	precorrin-2 C20-methyltransferase	148	162	141	136	289340	264081	299792	276007	150	385	116	138	70	80	106562	113891	106282	103896	78	147	1,02E-16	1,75E-15	

	1987555	1986827		-	-	SCO1854	permease	3	2	2	3	6038	4440	4427	6791	2	7	2	1	3	3	1923	1630	6000	4991	2	4	0,053968263	1	

1986807	1987618	1988463	1988468	+	-	SCO1855	precorrin-4 C11-methyltransferase	183	241	228	208	357246	392301	484104	419992	191	488	152	213	87	92	140041	175929	131294	118900	91	167	2,38E-21	5,05E-20	

1988469	1988469	1989701	1989701	+	-	SCO1856	precorrin-6Y C5,15-methyltransferase	219	238	217	239	428851	387547	460146	483477	139	356	153	185	70	94	140986	152893	105596	121279	57	105	3,84E-30	1,09E-28	

1989724	1989779	1991530		+	-	SCO1857	bifunctional CbiGH	349	319	234	279	682691	518397	497137	565047	126	322	185	266	127	132	169748	219699	191866	169762	57	107	1,04E-22	2,33E-21	

	1991527	1992444	1992473	+	-	SCO1858	hypothetical protein	296	352	177	232	578730	572657	375973	469122	215	543	102	210	86	106	93713	173416	129476	137186	78	145	1,48E-38	5,40E-37	

1992485	1992485	1993504	1993546	+	-	SCO1859	hypothetical protein	136	145	105	131	265847	236465	223006	266006	95	242	105	131	51	46	96883	108581	77038	59813	46	83	1,46E-21	3,13E-20	

	1995057	1994050		-	-	SCO1860	hypothetical protein	1	0	1	1	3087	1343	2882	3553	1	2	1	1	0	3	1680	1643	1241	4142	1	2	0,211981255	1	

1996295	1996295	1995204	1995204	-	-	SCO1861	hypothetical protein	27	24	30	22	52732	39240	65247	46385	18	46	38	34	18	23	35549	28715	28303	29915	15	28	2,00E-04	0,001072768	

	1996833	1996351		-	-	SCO1862	hypothetical protein	2	3	2	5	4650	6073	4605	11945	5	14	2	5	1	6	2195	4416	1838	8764	4	8	0,02083852	1	

	1998165	1996945		-	-	SCO1863	hypothetical protein	0	0	0	1	1135	0	0	2939	0	0	1	0	0	5	1326	459	534	6825	0	1	0,085679686	1	

1998468	1998468	1998980	1998980	+	-	SCO1864	acetyltransferase	93	172	127	140	181555	280773	269386	283161	195	494	345	469	250	239	316185	386385	375776	307352	361	675	0,302245443	0,660696495	

1998981	1999110	2000381	2000459	+	-	SCO1865	diaminobutyrate--2-oxoglutarate aminotransferase	433	455	368	456	844947	739506	781638	921695	252	646	553	1039	503	578	507078	856018	755846	741651	300	562	0,175315003	0,424579603	

2000498	2000500	2000898	2000909	+	ectC	SCO1866	L-ectoine synthase	354	477	361	439	691360	776598	765880	887217	768	1955	1000	1251	854	963	917311	1031161	1282957	1236325	1460	2799	0,223833882	0,521285322	

2000948	2000962	2001804	2002005	+	-	SCO1867	hydroxylase	590	855	615	786	1152907	1390370	1303733	1588752	635	1612	1813	2421	1334	1578	1662016	1994978	2004704	2025996	1208	2279	0,098005111	0,262901626	

	2002980	2001886		-	-	SCO1868	hypothetical protein	14	14	17	12	28570	24084	37357	24309	10	26	9	11	8	7	8381	9545	12578	9216	4	9	7,34E-14	1,02E-12	

2003821	2003753	2003040	2003040	-	-	SCO1869	hypothetical protein	21	20	23	26	41724	33086	48905	52851	24	61	48	45	19	33	44136	37366	29689	43508	29	54	0,28998424	0,640027039	

2004454	2004454	2003846	2003846	-	-	SCO1870	hypothetical protein	68	85	64	95	134268	138878	136911	193087	97	247	173	221	121	130	159214	182134	183005	167740	151	284	0,999120032	1	

2006133	2006127	2004598	2004558	-	-	SCO1871	aldehyde dehydrogenase	93	114	64	80	181700	185729	137060	163140	43	109	179	251	96	117	164684	207293	144194	150697	59	108	0,429527043	0,876536309	

2006245	2006250	2007023	2007026	+	-	SCO1872	IclR family transcriptional regulator	40	47	30	36	79322	77580	64860	72853	37	95	103	114	60	48	94501	93906	91194	61606	59	110	0,839229967	1	

2007027	2007027	2007497	2007502	+	-	SCO1873	acetyltransferase	80	65	67	82	156732	106306	143824	165717	118	303	169	210	103	135	155753	173226	155133	173242	186	348	0,98148017	1	

2007514	2007606	2007818	2007818	+	-	SCO1874	hypothetical protein	5	10	12	9	11212	17745	26859	18597	34	87	26	22	11	13	24304	18296	17906	17166	49	91	0,632490173	1	

2007936	2007938	2009392	2009468	+	-	SCO1875	penicillin binding protein	146	181	110	116	285477	294449	235020	234840	71	180	112	114	34	48	103407	94188	51155	62661	29	53	1,45E-30	4,18E-29	

2009469	2009469	2010041		+	-	SCO1876	RNA polymerase sigma factor	34	23	16	13	66799	38436	34445	26858	28	72	15	24	11	12	14495	20548	17618	15567	16	29	4,72E-11	5,30E-10	

	2010038	2010712		+	-	SCO1877	hypothetical protein	8	5	6	0	17318	8430	12776	1590	5	14	2	5	4	3	2429	4905	6385	4798	3	6	5,19E-05	1	

2011522	2011522	2010725	2010725	-	-	SCO1878	hypothetical protein	17	23	4	11	33346	37993	9963	23425	13	32	6	16	7	11	6190	13262	11775	14389	7	14	1,68E-08	1,55E-07	

	2012792	2011647		-	-	SCO1879	pectinesterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	

	2014193	2012859		-	-	SCO1880	pectate lyase	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1279	505	713	0	0	0	1	1	

	2015061	2014258		-	-	SCO1881	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	1986	3593	1734	1	2	1	1	

	2016552	2015194		-	-	SCO1882	sugar-binding protein	1	2	1	4	3203	4183	3575	9814	1	3	2	8	3	1	2262	7388	4663	2161	1	3	0,182540316	1	

	2018172	2016628		-	-	SCO1883	xylanase	1	0	1	0	2271	0	3198	1302	0	1	0	1	0	0	739	1154	0	1007	0	0	0,002822144	1	

	2019014	2018169		-	-	SCO1884	hypothetical protein	0	0	0	0	0	1214	1782	0	0	0	0	0	0	2	649	202	0	2759	0	1	0,912731212	1	

	2020168	2019011		-	-	SCO1885	oxidoreductase	1	0	0	0	2058	48	0	0	0	0	1	1	0	0	1723	1063	1467	0	0	0	0,234173817	1	

	2021061	2020165		-	-	SCO1886	integral membrane transport protein	1	1	0	0	2601	2123	0	0	0	1	4	1	0	0	4071	989	0	0	0	1	0,723537112	1	

	2021993	2021058		-	-	SCO1887	integral membrane transport protein	0	0	0	0	1465	0	0	1897	0	0	0	0	0	1	133	397	0	2144	0	0	0,246977395	1	

	2023845	2022115		-	-	SCO1888	dihydroxy-acid dehydratase	2	1	0	5	4815	2775	1604	10140	1	2	5	4	3	1	4672	3779	4841	2507	1	2	0,225525429	1	

	2024750	2023842		-	-	SCO1889	dihydropicolinate synthase	3	7	2	1	6523	11608	4763	3274	2	7	8	1	0	2	7584	1403	1035	3111	1	3	0,001341946	1	

	2025415	2024747		-	-	SCO1890	transcriptional regulator	2	1	1	1	4630	2944	3902	2279	1	5	8	2	2	0	7345	2028	3223	656	2	4	0,492665453	1	

	2026183	2025584		-	-	SCO1891	hypothetical protein	0	0	0	1	0	0	2089	2353	0	1	2	1	0	0	2119	1150	0	0	0	1	0,183416672	1	

	2026325	2027572		+	-	SCO1892	integral membrane efflux protein	0	0	0	0	0	0	1416	0	0	0	3	1	0	2	3083	1552	754	3093	0	1	1,19E-08	1	

2028015	2027953	2027561	2027561	-	-	SCO1893	lyase	6	1	1	4	13134	2147	2188	9666	6	17	12	6	5	9	11650	5045	8517	11846	12	23	0,617516839	1	

	2029210	2028038		-	-	SCO1894	hypothetical protein	0	2	1	2	0	3459	3505	4595	0	2	6	1	2	4	6152	865	3511	6345	1	3	0,566341254	1	

	2030157	2029207		-	-	SCO1895	5-dehydro-4-deoxyglucarate dehydratase	2	1	2	1	4281	2493	5417	2958	1	3	2	3	0	1	2018	2773	1248	1593	1	2	0,003502776	1	

	2030392	2031201		+	-	SCO1896	hypothetical protein	0	1	0	0	0	3233	0	0	0	0	1	0	0	0	1088	745	0	0	0	0	0,04937397	1	

	2031485	2032261		+	-	SCO1897	transcriptional regulator	1	2	5	0	3853	3443	10686	2000	2	6	2	3	4	2	2734	3286	7084	3239	2	5	0,222500645	1	

	2032364	2033734		+	-	SCO1898	substrate binding protein	0	1	3	3	0	1874	7408	6995	1	2	1	0	0	2	1441	0	0	2700	0	0	1,36E-09	1	

	2033731	2034675		+	-	SCO1899	integral membrane sugar transport protein	0	1	3	0	0	2799	6407	1116	1	2	0	0	0	0	0	0	987	1160	0	0	6,54E-11	1	

	2034672	2035550		+	-	SCO1900	integral membrane sugar transport protein	0	0	3	0	1592	0	6427	1516	1	2	0	1	1	1	520	1101	1886	2027	0	1	0,02689277	1	

	2035547	2036536		+	-	SCO1901	zinc-binding dehydrogenase	4	2	9	3	7979	4199	20580	7842	3	10	6	2	5	7	5889	2227	7564	9632	3	6	0,005013987	1	

	2036555	2036944		+	-	SCO1902	hypothetical protein	4	4	0	2	8513	8060	1822	4223	5	14	7	6	4	4	7078	5600	6858	5952	8	16	0,811778884	1	

2037030	2037030	2038229	2038238	+	-	SCO1903	transport associated protein	133	160	77	91	261246	260003	165118	183886	71	181	96	119	61	91	88100	98381	92140	117992	43	82	5,63E-11	6,30E-10	

2038877	2038877	2038269	2038148	-	-	SCO1904	transcriptional regulator	55	66	63	64	108436	108237	134119	129593	77	197	417	389	163	171	382392	320461	245682	220066	263	479	3,20E-07	2,62E-06	

2040918	2040480	2038879	2038878	-	-	SCO1905	hypothetical protein	13	13	32	15	25686	21301	69416	31630	8	23	166	174	62	61	152126	143836	93903	79534	40	73	4,58E-16	7,44E-15	

	2042451	2040979		-	-	SCO1906	hypothetical protein	7	15	6	11	15153	24784	12825	23416	5	12	14	17	10	14	13665	14057	16089	18443	5	10	0,092815472	1	

2044165	2044163	2042736	2042736	-	-	SCO1907	hypothetical protein	49	48	44	51	96107	79398	93968	104819	25	65	93	104	53	52	85542	86017	80769	66973	30	55	0,092595284	0,251141625	

2044374	2044380	2046221	2046334	+	-	SCO1908	large hypothetical protein	74	97	55	53	145752	158796	118510	108465	28	72	105	179	92	96	96396	147553	138481	123757	36	68	0,28941155	0,639185769	

	2046959	2046252		-	-	SCO1909	hypothetical protein	2	0	1	0	5038	675	2347	1414	1	3	2	6	0	3	2104	4954	1241	4892	2	4	0,663869105	1	

	2047614	2047117		-	-	SCO1910	alanine-rich protein	2	8	3	4	4756	14166	7011	9489	7	17	5	6	3	2	5102	4959	5164	3796	5	9	0,001248729	1	

2048108	2048108	2047611		-	-	SCO1911	hypothetical protein	12	14	13	13	24512	24237	29246	27230	20	52	14	19	4	2	13593	15742	7393	3251	11	20	3,26E-11	3,73E-10	

	2048176	2049129		+	-	SCO1912	dihydrodipicolinate synthase	0	2	4	0	1397	3426	10111	381	1	4	10	5	1	5	10042	4300	1886	6696	3	6	0,485324345	1	

	2049380	2049114		-	-	SCO1913	small membrane protein	1	0	0	0	1970	0	386	0	0	2	1	0	0	0	1140	169	0	738	1	1	0,339479713	1	

	2049519	2049689		+	-	SCO1914	hypothetical protein	0	1	0	1	0	3040	0	3181	3	9	12	4	1	0	11655	3899	2270	884	15	27	0,00128067	0,005827288	

2049722	2049745	2050473	2050473	+	-	SCO1915	hypothetical protein	3	20	9	6	7494	33432	19966	12196	10	25	20	25	10	18	18438	20879	16398	23787	14	27	0,780777337	1	

2051513	2051513	2050524	2050511	-	-	SCO1916	transferase	293	361	146	221	572653	588062	309626	446283	192	483	252	415	231	285	231039	342015	347205	366715	171	324	6,41E-04	0,003117355	

	2052116	2051523	2051514	-	-	SCO1917	hypothetical protein	32	34	25	33	62624	56061	54372	67141	39	101	17	37	34	30	16180	30987	52054	39254	29	58	4,37E-05	2,62E-04	

2052436	2052436	2052116		-	-	SCO1918	hypothetical protein	25	40	17	23	49004	65449	37070	48041	62	155	31	46	40	60	29096	38256	61161	77753	81	160	0,884881092	1	

	2052887	2052555	2052516	-	-	SCO1919	hypothetical protein	120	175	108	104	235870	285817	229731	211433	286	722	185	225	100	132	170426	185880	151683	170558	274	509	0,002406737	0,01028988	

2053365	2053354	2052884		-	-	SCO1920	hypothetical protein	120	212	141	149	234753	344670	300128	301283	248	626	222	259	143	164	204042	214040	215341	211559	238	448	0,004894023	0,019557832	

	2054628	2053372	2053366	-	-	SCO1921	aminotransferase	348	480	288	289	680963	780379	611280	585235	209	528	286	506	264	292	262288	416905	396646	375621	153	288	2,26E-06	1,68E-05	

2055396	2055389	2054625		-	-	SCO1922	ABC transporter ATP-binding protein	275	362	174	238	537501	588713	369555	482333	256	646	191	370	211	188	175523	305526	317104	242447	179	340	6,69E-07	5,27E-06	

	2055714	2055397	2055397	-	-	SCO1923	dioxygenase ferredoxin subunit	89	117	58	72	173720	190684	123095	145994	197	498	73	136	60	78	67667	112132	91550	100363	156	292	1,33E-05	8,81E-05	

2056895	2056895	2055711		-	-	SCO1924	hypothetical protein	249	388	276	250	487447	631992	586659	505246	184	466	374	515	218	276	343267	425043	327817	354862	165	306	5,03E-04	0,002496345	

	2058377	2056956	2056899	-	-	SCO1925	hypothetical protein	674	915	384	498	1316619	1488142	815420	1006400	323	813	588	1052	576	690	538986	867248	865674	885663	292	555	0,02322546	0,076743442	

2059132	2059132	2058374		-	-	SCO1926	DNA-binding protein	114	131	144	152	222444	214278	306685	307814	134	346	417	368	200	240	382673	303547	301268	307962	228	426	0,693551766	1	

2059304	2059304	2060092	2060097	+	-	SCO1927	aminoglycoside acetyltransferase	5	5	4	5	9882	8824	9616	12029	4	12	41	41	19	14	37745	34439	28619	18455	20	37	2,49E-07	2,06E-06	

2060169	2060169	2061092		+	-	SCO1928	ABC transporter ATP-binding protein	93	118	99	132	182807	193363	211013	266694	90	231	464	401	199	230	425812	330437	299149	295640	197	365	0,061120281	0,176858686	

	2061089	2061898	2061904	+	-	SCO1929	integral membrane transport protein	53	65	47	52	104601	106845	100000	105944	50	128	116	138	49	80	106481	114206	74487	103597	67	123	0,27310743	0,610710873	

2061905	2061905	2062975	2063257	+	-	SCO1930	integral membrane transport protein	416	507	326	347	812785	825170	691363	702325	279	707	692	933	448	572	634327	769314	673314	734514	351	656	0,276473217	0,61684821	

	2063709	2062930		-	-	SCO1931	hypothetical protein	6	6	0	2	12872	10594	1832	6037	4	10	10	13	4	7	10018	11077	7468	9538	6	12	0,9606031	1	

	2064819	2063713		-	-	SCO1932	hypothetical protein	5	2	7	3	11523	4287	16321	7600	3	8	22	24	14	15	20948	20485	21589	20348	10	18	0,00647534	1	

2065368	2065368	2064934	2064821	-	-	SCO1933	hypothetical protein	42	34	16	29	82516	56182	34445	58675	52	133	62	99	68	90	57271	81728	102132	116592	106	205	0,052651291	0,155772188	

2066411	2066411	2065389	2065380	-	-	SCO1934	protoheme IX farnesyltransferase	411	485	400	407	803892	789043	848677	822792	312	797	818	797	415	528	749773	656842	624429	678280	354	662	0,09188302	0,249525741	

2066638	2066713	2068800	2068800	+	-	SCO1935	transketolase	3103	4058	1835	2331	6054907	6594755	3891254	4705972	1010	2543	1301	2914	1222	1399	1193012	2400836	1836684	1796010	466	865	1,17E-06	8,96E-06	

2068804	2068835	2069953	2069956	+	-	SCO1936	transaldolase	1554	1902	852	1079	3033142	3090998	1807665	2179560	896	2259	525	1326	606	742	481576	1092623	911357	953216	409	768	5,38E-10	5,70E-09	

2069957	2069957	2071480		+	-	SCO1937	glucose-6-phosphate 1-dehydrogenase	685	952	422	560	1336792	1547582	896196	1132347	320	805	343	705	354	394	315011	580942	532466	506427	168	317	3,88E-13	5,13E-12	

	2071477	2072532		+	-	SCO1938	hypothetical protein	357	431	242	248	696922	700635	514746	501153	225	571	218	379	169	170	199990	312968	255325	219264	126	233	1,70E-12	2,14E-11	

	2072529	2073314	2073322	+	-	SCO1939	6-phosphogluconolactonase	320	334	180	243	625512	542924	382063	491999	256	649	192	312	122	157	176001	257111	183238	202156	141	260	6,45E-14	9,05E-13	

2074145	2074144	2073377	2073254	-	-	SCO1940	hypothetical protein	9	20	9	23	19367	33834	19540	47911	15	39	70	59	18	30	64760	49271	27933	39465	32	59	0,058611067	0,170809396	

2075226	2075203	2074235	2074146	-	-	SCO1941	hypothetical protein	20	29	19	19	39238	48169	40932	40329	17	43	79	60	39	43	73113	49730	58672	56134	32	61	0,111568615	0,292062294	

2077083	2076968	2075313	2075313	-	pgi	SCO1942	glucose-6-phosphate isomerase	187	252	119	140	365702	409653	253184	283682	78	198	199	261	136	163	182764	215266	204547	209708	65	122	1,27E-04	7,05E-04	

2077629	2077419	2077084	2077084	-	-	SCO1943	electron transport protein	49	66	55	52	95874	107988	116757	106698	124	317	115	119	62	77	105426	98203	94506	99619	158	295	0,205477109	0,484371466	

