Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts wildtype Replicate 1	Raw Counts wildtype Replicate 2	Raw Counts wildtype Replicate 3	Raw Counts wildtype Replicate 4	Normalized Counts wildtype Replicate 1	Normalized Counts wildtype Replicate 2	Normalized Counts wildtype Replicate 3	Normalized Counts wildtype Replicate 4	RPKM wildtype	Expression wildtype	Raw Counts novo10 Replicate 1	Raw Counts novo10 Replicate 2	Normalized Counts novo10 Replicate 1	Normalized Counts novo10 Replicate 2	RPKM novo10	Expression novo10	pValue wildtype vs novo10	qValue wildtype vs novo10

221349	221247	221092	221024	-	-	SCO0231	hypothetical protein	58	65	62	69	113998	106435	132534	141231	309	791	142	140	174925	220051	418	1265	0,45199588	1

	221599	221414		-	-	SCO0232	hypothetical protein	0	0	0	0	0	1335	0	0	0	1	0	1	0	1750	1	4	0,402226238	1

	222538	221699		-	-	SCO0233	DNA-binding protein	1	2	0	0	3698	3716	1842	1786	1	3	3	3	3906	4976	1	5	0,347618978	1

	222827	223288		+	-	SCO0234	oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1

	223294	224232		+	-	SCO0235	short chain dehydrogenase	11	11	10	13	22861	19193	22620	26328	9	24	23	16	29233	26106	9	29	0,905375891	1

	225276	224404		-	-	SCO0236	DNA-binding protein	4	6	4	7	8601	9838	8616	14987	4	12	11	3	14245	5465	3	11	0,556225511	1

	225476	226237		+	-	SCO0237	oxidoreductase	0	0	0	1	0	0	0	3284	0	1	1	0	2218	0	0	1	0,423843897	1

	226481	227008		+	-	SCO0238	hypothetical protein	0	0	0	0	1281	353	0	0	0	0	1	1	1334	2071	1	3	0,070082405	1

	228154	227081		-	-	SCO0239	hypothetical protein	4	6	4	4	8630	11334	10240	9424	3	9	10	3	13226	5985	3	8	0,605922245	1

	229649	228714		-	-	SCO0240	oxidoreductase	5	6	0	2	11358	10143	0	5628	2	7	5	1	6767	2148	1	4	0,177234176	1

	229995	230669		+	-	SCO0241	transcriptional regulator	3	7	5	3	6630	11648	10795	8000	5	13	11	10	14004	16390	7	22	0,434302038	1

230981	231022	231465	231468	+	-	SCO0242	hypothetical protein	17	29	30	28	33598	48049	64712	56954	44	114	56	43	69598	68656	52	155	0,711543464	1

231472	231475	231654	231667	+	-	SCO0243	hypothetical protein	9	17	7	7	17988	28766	16460	15824	44	109	17	15	21847	23874	42	127	0,992873803	1

232508	232508	233518	233518	+	-	SCO0244	hypothetical protein	16	22	21	30	31297	35918	44973	62387	16	43	37	30	46446	48444	15	46	0,778336736	1

	234873	233854	233854	-	-	SCO0245	hypothetical protein	17	23	15	25	34462	38227	32257	51614	15	38	33	25	41514	40562	13	40	0,71494409	1

236305	236207	234870		-	-	SCO0246	hypothetical protein	49	42	43	56	95699	69519	92076	114736	27	69	85	75	104592	117643	27	83	0,861403834	1

236554	236782	237807	238208	+	-	SCO0247	hypothetical protein	414	493	297	390	807921	802662	630523	788882	291	738	484	445	595469	698524	209	630	0,017014	0,390293696

	238251	237664		-	-	SCO0248	hypothetical protein	7	1	2	1	14037	2952	4635	3414	4	10	3	5	4555	7981	3	10	0,686611924	1

	239794	238280		-	-	SCO0249	hypothetical protein	29	24	12	18	56994	40431	27126	36728	10	26	32	26	39981	42206	9	27	0,654253438	1

	239858	240523		+	-	SCO0250	transcriptional regulator	8	5	4	10	16920	8720	9131	20280	8	20	9	7	11872	11092	5	17	0,439040624	1

	240843	240559		-	-	SCO0251	hypothetical protein	0	0	0	0	0	0	0	930	0	0	0	0	679	1276	1	3	0,062194231	1

	242123	240876		-	-	SCO0252	oxidoreductase	12	16	12	5	23444	27552	27136	11554	7	17	18	6	23226	10771	4	13	0,245001061	1

242194	242194	242766	242766	+	-	SCO0253	TetR family transcriptional regulator	10	16	11	12	20541	26618	25017	25620	16	42	27	12	33250	19195	15	45	0,819880184	1

	243762	243022		-	-	SCO0254	hypothetical protein	3	2	3	0	6698	4199	6962	1293	2	6	5	8	6847	13263	4	13	0,184534773	1

	245672	243936		-	-	SCO0255	sigma factor	9	1	5	3	17619	2912	11567	7712	2	5	15	6	19097	10702	2	8	0,577608278	1

245947	245986	246783	246867	+	-	SCO0256	short chain oxidoreductase	15	15	4	4	29327	25323	10250	9303	9	23	15	24	19592	37772	11	35	0,427183124	1

246868	246868	247869	247870	+	-	SCO0257	hypothetical protein	17	15	6	10	33288	25170	13271	21695	9	23	24	25	30735	40707	11	35	0,438518898	1

	247871	248680		+	-	SCO0258	hypothetical protein	19	6	8	2	38539	11205	19055	6000	8	23	14	19	17756	30204	9	29	0,771986927	1

	248677	249702	249718	+	-	SCO0259	alcohol dehydrogenase	23	32	26	19	45015	53294	55224	38812	18	46	37	37	46260	58756	16	51	0,772360936	1

249753	249755	250084	250106	+	-	SCO0260	hypothetical protein	82	79	61	54	160566	129378	130771	110484	157	402	111	105	137601	165079	152	458	0,659343541	1

	250691	250164		-	-	SCO0261	acetyltransferase	3	6	7	0	6261	9934	16737	0	6	15	5	5	6699	7919	4	13	0,472898705	1

250805	250805	251740	251740	+	-	SCO0262	LysR family transcriptional regulator	22	33	19	33	44665	54235	42111	67848	22	55	47	26	57836	42137	18	53	0,449437311	1

	252879	251764		-	-	SCO0263	oxidoreductase	4	2	4	2	8338	4842	9428	5405	2	6	9	6	11131	10824	3	9	0,497543433	1

	252946	253398		+	-	SCO0264	transcriptional regulator	0	2	5	4	1737	4778	12389	8912	5	15	5	6	6594	9708	5	17	0,95207687	1

	253499	254290	254290	+	-	SCO0265	hydroxylase	13	21	11	11	27220	34904	23313	24085	13	34	22	15	27750	23568	10	32	0,54095159	1

	255309	254332		-	-	SCO0266	transcriptional regulator	1	3	1	0	2164	5100	3862	0	1	2	10	3	13022	5366	3	9	0,019489313	1

	255311	256087		+	-	SCO0267	hydrolase	0	0	0	0	0	715	1891	1786	0	1	2	0	2960	0	0	1	0,570110642	1

256230	256281	256442	256446	+	-	SCO0268	hypothetical protein	76	79	8	19	148451	129040	18530	38971	208	516	36	34	44882	54743	101	307	0,007475176	0,248291328

	256526	259687		+	-	SCO0269	hypothetical protein	18	19	7	19	36054	31879	14915	39510	3	9	18	16	23170	25410	2	7	0,2747953	1

	259684	261084		+	-	SCO0270	hypothetical protein	4	5	0	1	9503	8213	0	3097	1	3	8	1	9950	2904	1	4	0,953348067	1

	261366	262319		+	-	SCO0271	binding-protein-dependent transport protein	0	0	1	1	0	0	2763	2083	0	1	0	0	111	1161	0	0	0,882189549	1

	262330	263220		+	-	SCO0272	binding-protein-dependent transport protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1

	263285	264634		+	-	SCO0273	substrate binding protein	0	0	0	0	1572	0	0	0	0	0	0	2	686	3623	0	1	0,010945894	1

	264764	266263		+	-	SCO0274	alpha-galactosidase	0	3	0	0	0	5011	1941	0	0	1	0	1	0	2041	0	0	0,858070024	1

	266356	267513		+	-	SCO0275	transcriptional repressor protein	7	10	6	2	15105	16370	14727	4353	4	10	16	15	20117	24508	6	19	0,274308982	1

	267585	268838		+	-	SCO0276	oxidoreductase	5	5	5	8	9892	9588	12370	17452	3	9	15	9	18689	15098	4	13	0,706952398	1

269688	269688	269020	268965	-	-	SCO0277	hypothetical protein	16	17	24	17	31618	27721	51470	36003	21	54	27	25	34147	40203	18	55	0,651312808	1

	269783	270397		+	-	SCO0278	MutT domain-containing protein	0	3	1	0	1795	4963	4040	0	1	4	3	1	4487	2897	2	6	0,394821596	1

	270477	271748		+	-	SCO0279	glycosyl hydrolase	3	1	4	0	6038	2710	9141	1311	1	3	8	12	10531	20051	3	12	0,009726324	1

	272469	271768		-	-	SCO0280	hypothetical protein	0	4	0	1	0	6507	1267	3963	1	4	2	1	3547	2002	1	3	0,769006563	1

	272834	272466		-	-	SCO0281	hypothetical protein	0	1	1	1	0	2381	4011	2670	2	6	0	1	865	2690	1	4	0,849963406	1

272892	272892	273656	273693	+	-	SCO0282	deoR family transcriptional regulator	4	11	9	8	7989	18984	20065	17276	8	21	16	19	20686	30471	10	33	0,38484182	1

	274595	274101		-	-	SCO0283	hypothetical protein	0	0	1	1	601	0	3446	2065	1	3	1	0	1835	1001	0	2	0,473146144	1

	274763	276805		+	-	SCO0284	alpha-galactosidase	0	1	0	0	0	2686	0	1655	0	0	0	0	1050	443	0	0	0,520406453	1

	276938	278827		+	-	SCO0285	sodium/proton antiporter	16	8	9	18	31938	13538	20768	38068	5	13	22	17	28003	28048	4	14	0,804390228	1

279428	279416	278910	278910	-	-	SCO0286	peptidoglycan binding protein	19	23	8	12	38190	38798	19045	25537	23	59	16	22	20846	35654	18	55	0,502316293	1

	279691	280695		+	-	SCO0287	regulatory protein	9	8	5	4	17687	13675	11013	8586	4	12	25	17	31093	27161	9	28	0,055224741	0,659026196

	281132	280692		-	-	SCO0288	hypothetical protein	1	0	0	0	3184	1118	1733	1730	1	4	2	2	2923	3776	2	7	0,310120109	1

	282157	281129		-	-	SCO0289	transcriptional regulator	5	6	11	14	10358	9983	24175	29695	6	18	26	11	32917	18316	8	24	0,623887944	1

	282491	283801		+	-	SCO0290	solute-binding protein	0	0	0	0	0	0	485	0	0	0	0	0	1118	0	0	0	0,018491959	1

	283798	284700		+	-	SCO0291	binding protein dependent transport protein	0	0	0	0	0	0	703	1990	0	0	0	0	0	535	0	0	0,149680884	1

	284702	285598		+	-	SCO0292	sugar ABC-transporter integral membrane protein	0	0	0	0	0	0	0	0	0	0	0	1	0	2492	0	1	1	1

	285714	288104		+	-	SCO0293	beta-xylosidase	0	0	0	0	0	1142	0	1348	0	0	2	0	3665	1291	0	1	0,065906313	1

	288840	288187		-	-	SCO0294	acetyltransferase	0	0	1	0	0	1126	3694	1460	0	2	1	1	2360	1865	1	3	0,562505504	1

	290456	288987		-	-	SCO0295	transmembrane efflux protein	1	4	1	1	3494	7754	4011	3507	1	3	9	2	11217	3226	1	4	0,596268954	1

290584	290584	291165	291165	+	-	SCO0296	transcriptional regulator	10	14	5	19	19697	24117	11250	39771	16	40	25	20	31588	32497	18	55	0,693653405	1

291290	291315	292592	292619	+	-	SCO0297	hypothetical protein	53	67	17	22	105145	109307	38001	44692	23	58	41	49	51464	77761	16	50	0,212585218	1

293519	293519	292656	292656	-	-	SCO0298	LysR family transcriptional regulator	27	38	28	25	53868	62545	59572	50637	25	65	45	39	56205	62059	22	68	0,595087828	1

	293613	294497		+	-	SCO0299	oxidoreductase	4	9	0	2	9717	16193	2069	5721	3	9	7	5	8980	9020	3	10	0,781039043	1

	296305	294494		-	-	SCO0300	monooxygenase	7	19	5	7	14862	32153	11369	15592	4	10	14	14	18176	21940	3	11	0,867165068	1

	296471	297499		+	-	SCO0301	lipoprotein	0	0	0	0	1727	0	0	0	0	0	1	1	2144	2675	0	2	0,007962956	1

	298108	297515	297490	-	-	SCO0302	TetR family transcriptional regulator	9	12	9	8	18211	20159	20946	17248	12	32	22	14	27175	23369	14	42	0,712747443	1

	298311	298105		-	-	SCO0303	hypothetical protein	0	0	0	0	291	0	0	0	0	0	0	0	0	1009	0	2	3,76E-05	1

	298836	298468		-	-	SCO0304	hypothetical protein	0	0	0	0	0	0	1505	0	0	1	1	0	1767	0	0	2	0,642527689	1

	299213	302092		+	-	SCO0305	hypothetical protein	8	6	11	5	17173	10618	25383	10345	2	5	9	8	12002	14081	1	4	0,411765365	1

	303084	303971		+	-	SCO0307	DNA-binding protein	10	13	6	13	19939	21888	13568	26551	9	23	10	6	13133	10809	4	13	0,073689674	0,728956812

	304026	305429		+	-	SCO0308	hypothetical protein	3	5	0	5	5921	8969	2020	10987	1	4	12	4	14826	7484	2	7	0,463400069	1

	306625	305537		-	-	SCO0309	amide hydrolase	1	1	0	0	1980	2839	2089	1628	0	1	2	1	3312	2782	0	2	0,638500268	1

307475	307466	306816	306658	-	-	SCO0310	TetR family transcriptional regulator	11	19	16	20	21881	31606	34148	41966	19	49	22	19	28170	29951	14	44	0,430800523	1

	307575	309131		+	-	SCO0311	ligase	0	0	0	1	0	0	0	2716	0	0	0	0	0	0	0	0	1	1

	309147	310316		+	-	SCO0312	acyl-CoA dehydrogenase	0	1	0	0	0	3145	0	0	0	0	0	1	0	1788	0	0	0,451038101	1

	310378	311727		+	-	SCO0313	transmembrane transport protein	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	1	1

	311724	313670		+	-	SCO0314	hypothetical protein	0	0	1	0	0	1407	2842	0	0	0	1	0	1365	1230	0	0	0,437323326	1

	315055	313697		-	-	SCO0315	decarboxylase	2	3	0	3	4271	6153	1683	6623	1	3	5	4	6724	6505	1	4	0,730762918	1

	316921	315254		-	-	SCO0316	DNA-binding protein	0	3	5	1	844	5317	11696	2707	1	3	9	5	12021	9349	2	6	0,178421624	1

	318237	316975		-	-	SCO0317	transmembrane transport protein	3	1	5	3	7280	3064	10993	7898	2	5	8	6	9956	10266	2	8	0,723549793	1

	319345	318329		-	-	SCO0318	oxidoreductase	0	0	0	0	0	0	0	0	0	0	1	0	2206	947	0	1	1	1

	320008	319499		-	-	SCO0319	hypothetical protein	0	0	0	0	0	0	237	0	0	0	0	0	0	1009	0	0	2,66E-08	1

	320110	320583		+	-	SCO0320	hypothetical protein	0	0	0	1	1621	699	0	2474	0	2	0	0	0	0	0	0	1	1

	320699	322255		+	-	SCO0321	carboxylesterase	3	8	7	2	6756	14576	15143	5460	2	6	9	11	11328	18255	3	9	0,6757172	1

	323938	322244		-	-	SCO0322	ABC transport ATP-binding subunit	1	1	1	0	2999	1785	2436	1897	0	1	3	2	4789	4410	0	2	0,197312004	1

	325069	324467		-	-	SCO0323	hypothetical protein	0	0	1	1	0	0	2961	2307	0	2	0	1	574	1788	0	1	0,477028284	1

	327616	325238		-	-	SCO0324	hypothetical protein	1	3	12	1	3465	5357	27523	2400	1	4	5	2	7132	4632	0	2	0,109019848	1

	327899	328264		+	-	SCO0325	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	1211	0	0	1	1	1

328317	328333	329301	329301	+	-	SCO0326	hypothetical protein	8	11	7	8	16396	19346	15638	16829	6	17	25	24	31341	39010	12	36	0,088417801	0,785284622

	330235	331365		+	-	SCO0329	esterase	12	12	12	16	25317	19660	27235	32868	9	23	20	20	24876	32352	8	25	0,828167669	1

	331504	332253		+	fabG	SCO0330	3-ketoacyl-ACP reductase	3	8	0	1	6251	13281	1861	2363	3	7	4	2	5389	4426	2	6	0,374582449	1

	332311	333210		+	-	SCO0331	short chain oxidoreductase	0	2	1	0	1300	3475	3426	1255	1	2	5	4	6347	6864	2	7	0,018478984	1

	333529	334149		+	-	SCO0332	transcriptional regulator	1	7	6	5	2388	12854	13776	11740	6	16	13	9	16069	15258	8	25	0,536247746	1

	335734	334223		-	-	SCO0333	dioxygenase	0	0	0	2	1203	0	1237	4558	0	1	8	0	10339	0	1	3	0,065496312	1

	335948	336292		+	-	SCO0334	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1

	336333	339467		+	-	SCO0335	hypothetical protein	13	23	7	10	27055	37639	16925	22178	3	8	16	14	20216	21940	2	6	0,313068922	1

	340630	339521		-	-	SCO0336	hypothetical protein	2	1	1	1	4815	3032	2149	3516	1	3	3	0	4042	0	0	1	0,267308015	1

340752	340752	341318	341627	+	-	SCO0337	transcriptional regulator	8	12	10	8	16580	20698	23294	17443	13	34	30	16	37416	25196	18	55	0,366523617	1

	341909	341370		-	-	SCO0338	dehydrogenase	1	0	0	0	3261	1528	0	1962	1	3	0	0	0	764	0	0	0,004793849	1

	341992	342561		+	-	SCO0339	dehydrogenase	0	0	0	0	0	0	0	0	0	0	1	1	2268	2675	1	4	1	1

343165	343165	342578	342206	-	-	SCO0340	hypothetical protein	24	28	32	21	48461	46126	68871	43929	34	88	30	26	37589	40761	22	66	0,148971096	0,971478418

	345663	343234		-	-	SCO0341	large hypothetical protein	0	0	0	0	0	1391	0	0	0	0	3	0	4802	0	0	0	8,11E-04	1

	347706	345817		-	-	SCO0342	hypothetical protein	0	0	2	0	0	0	6160	1507	0	1	1	3	1526	5175	0	1	0,305413949	1

	347814	348083		+	-	SCO0343	hypothetical protein	0	3	1	1	0	5027	2733	2530	3	9	1	0	2194	0	1	4	0,156282942	1

	348137	349381		+	-	SCO0344	GntR family transcriptional regulator	2	4	3	1	5446	8036	7903	3944	2	5	11	3	14332	5794	2	8	0,500568422	1

	350201	349419		-	-	SCO0345	IclR family regulatory protein	3	5	3	2	6232	8237	7299	5349	3	8	11	1	13733	2889	3	10	0,96659881	1

	350474	351352		+	-	SCO0346	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	1	1	0	3	2582	3161	0	6661	1	3	5	2	6328	3669	1	5	0,447532281	1

	351529	352779		+	-	SCO0347	racemase	0	1	1	3	0	2445	2307	7498	0	2	9	2	11569	4510	2	6	0,075244293	1

	352776	353795		+	-	SCO0348	2-hydroxyacid dehydrogenase	0	1	0	1	0	1986	0	2074	0	0	1	0	1990	1444	0	1	0,594873056	1

	353801	354805		+	-	SCO0349	oxidoreductase	0	0	1	2	931	1608	3278	4112	0	2	7	0	8936	1437	1	5	0,168331057	1

	354802	355686		+	-	SCO0350	hypothetical protein	0	0	0	0	0	1061	475	0	0	0	1	0	2342	183	0	1	0,48957591	1

	355683	357158		+	-	SCO0351	hypothetical protein	0	0	0	1	1174	595	0	3758	0	0	1	4	2033	7698	1	3	0,038284695	1

	357209	358477		+	-	SCO0352	solute-binding protein	5	0	5	0	10697	1568	12231	0	1	4	6	15	7731	24654	4	12	0,034968603	1

	358481	359392		+	-	SCO0353	binding protein dependent transport protein	0	0	0	0	1077	1351	1237	1776	0	1	11	2	13553	3149	3	9	5,36E-05	1

	359389	360231		+	-	SCO0354	binding-protein-dependent transport protein	0	0	2	0	0	1496	4852	0	0	1	4	4	5809	6444	2	7	0,014388597	1

	360305	360646		+	-	SCO0355	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	3,55E-61	1

	360674	361465		+	-	SCO0356	oxidoreductase	0	0	0	0	1232	1126	0	0	0	0	1	3	2206	5672	1	4	5,13E-04	1

362502	362478	361759	361759	-	-	SCO0357	GntR family transcriptional regulator	32	26	17	21	63780	42361	37743	43706	25	65	33	35	41520	55676	22	67	0,65636667	1

	362635	363777		+	-	SCO0358	racemase	6	7	5	8	13503	11656	11557	16894	4	11	14	9	17941	15396	4	14	0,873078352	1

	363774	364496		+	-	SCO0359	hypothetical protein	1	4	0	1	2999	7248	0	3042	1	4	8	10	10315	16741	6	18	0,001926135	1

365551	365551	364559		-	-	SCO0360	LacI family DNA-binding transcriptional repressor	14	12	14	20	28259	20979	30880	41631	11	30	23	16	28646	26572	9	27	0,464025264	1

	366795	365623		-	-	SCO0361	hypothetical protein	2	3	2	2	5844	6411	4615	5870	1	4	5	8	6674	13187	2	8	0,371284782	1

	366935	368146		+	-	SCO0362	racemase	0	0	1	0	0	0	3951	0	0	0	2	1	2855	1597	0	1	0,880772891	1

	368143	369252		+	-	SCO0363	hypothetical protein	0	0	0	0	0	1061	0	1469	0	0	1	0	2095	0	0	0	0,604165372	1

	369249	370055		+	-	SCO0364	enoyl-CoA hydratase	0	0	0	2	0	217	0	4223	0	1	1	4	1644	6734	1	5	0,036005743	1

	370066	370812		+	-	SCO0365	oxidoreductase	0	0	0	0	242	1005	0	0	0	0	2	3	2898	4946	1	5	2,63E-12	1

	370809	371876		+	-	SCO0366	hypothetical protein	3	2	1	0	7368	3628	3971	1907	1	3	0	5	0	7996	1	3	0,402706933	1

	372478	371921		-	-	SCO0367	hypothetical protein	0	2	0	0	349	3531	1158	1218	1	2	1	0	1983	871	0	2	0,475011263	1

372976	373045	374001	374001	+	-	SCO0368	transposase	16	20	12	13	31987	33448	27394	27435	12	31	43	25	53807	39186	16	48	0,429941197	1

	377255	373998		-	-	SCO0369	hypothetical protein	0	1	0	0	0	2879	0	1404	0	0	1	3	1310	5305	0	1	0,106591793	1

	380690	377286		-	-	SCO0370	DNA-binding protein	0	0	0	0	0	981	1465	0	0	0	0	0	605	0	0	0	0,772338236	1

	383360	380751		-	-	SCO0371	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	1155	0	0	0	1	1

	386592	383578		-	-	SCO0372	hypothetical protein	1	1	0	0	2407	2107	1208	0	0	0	1	0	1359	0	0	0	0,775437324	1

	387360	386761		-	-	SCO0373	hypothetical protein	1	0	0	1	2310	0	1980	2623	1	2	5	0	6532	802	2	6	0,217384302	1

	387750	389519		+	-	SCO0374	ABC transporter	1	3	0	0	2621	6403	1138	967	0	1	3	2	4740	3478	0	2	0,487843348	1

	391123	389531		-	-	SCO0375	integral membrane transport protein	0	1	1	0	0	1737	3852	1134	0	1	9	6	11613	10419	2	6	2,71E-06	1

	391232	391834		+	-	SCO0376	transcriptional regulator	7	9	5	6	13988	14841	12469	12410	8	22	9	8	11977	13102	6	20	0,624296088	1

	392483	391950		-	-	SCO0377	hypothetical protein	0	1	0	0	0	2171	0	465	0	1	1	0	1897	1230	1	2	0,696231249	1

	393218	392484		-	-	SCO0378	hypothetical protein	0	2	0	1	0	3266	1089	3274	1	2	4	1	5766	2163	1	5	0,210840699	1

393488	393498	394961	394978	+	-	SCO0379	catalase	101	140	92	108	198369	228203	196721	219136	56	143	277	177	340797	277654	71	211	0,92237936	1

	395065	395460		+	-	SCO0380	hypothetical protein	0	1	3	3	1242	2928	7427	6279	4	11	10	6	13498	10182	10	29	0,046771698	0,629677767

	395939	397414		+	-	SCO0381	glycosyl transferase	5	1	1	3	10494	1890	3555	7293	1	3	10	5	13108	8424	2	7	0,277072956	1

	397485	398810		+	-	SCO0382	UDP-glucose/GDP-mannose dehydrogenase	2	0	0	1	4931	249	1990	3088	0	1	7	4	8634	6903	1	5	0,036854199	1

	398881	400104		+	-	SCO0383	hypothetical protein	2	5	5	2	4485	9379	12399	4530	2	6	9	5	11155	9318	2	8	0,79122806	1

	400179	401468		+	-	SCO0384	hypothetical protein	0	4	4	1	1058	7730	10577	3470	1	4	6	0	8337	710	1	3	0,30405309	1

	401465	403030		+	-	SCO0385	hypothetical protein	1	1	2	2	2203	2244	4743	4670	0	2	6	0	8386	863	1	2	0,825512783	1

	403034	404968		+	-	SCO0386	asparagine synthetase	3	2	0	5	6426	4440	0	10810	1	2	4	5	5716	9211	1	3	0,76733105	1

	405070	407250		+	-	SCO0387	bi-domain-containing oxidoreductase	0	1	2	1	1194	1898	5437	2986	0	1	7	2	9542	3386	1	2	0,139716468	1

	407253	409214		+	-	SCO0388	hypothetical protein	1	0	1	2	3057	0	2149	5758	0	1	10	3	12509	4930	1	4	0,026166865	1

	409237	410772		+	-	SCO0389	lipoprotein	0	3	1	1	1174	4979	3387	3693	0	2	3	1	4307	2331	0	2	0,381199215	1

	410774	412006		+	-	SCO0390	hypothetical protein	0	0	0	0	0	410	0	0	0	0	1	2	1687	3478	0	2	2,26E-72	1

	412009	413250		+	-	SCO0391	transferase	0	0	1	1	1582	0	2723	2195	0	1	3	0	4814	1131	0	2	0,565764824	1

	413247	414497		+	-	SCO0392	methyltransferase	0	2	0	2	0	4038	911	4502	0	1	1	2	2348	4663	0	2	0,355019865	1

	414494	415303		+	-	SCO0393	transferase	0	2	1	0	0	3354	3882	1265	1	2	2	1	3454	2966	1	3	0,364700287	1

	415300	415947		+	-	SCO0394	hypothetical protein	1	2	0	0	3446	4352	0	0	1	3	4	0	5123	0	1	3	0,55567549	1

	415951	416976		+	-	SCO0395	epimerase/dehydratase	0	2	0	1	1067	3756	1455	3953	1	2	4	5	5655	8332	2	6	0,063367856	1

	416973	418247		+	-	SCO0396	hypothetical protein	2	4	2	4	5125	8020	6199	8596	2	5	6	3	7768	5259	1	5	0,56442422	1

	418253	419542		+	-	SCO0397	hypothetical protein	3	3	0	1	6921	5092	0	3721	1	3	4	4	5327	7262	1	4	0,530368302	1

	419539	420486		+	-	SCO0398	glycosyl transferase	0	0	0	0	970	1230	0	0	0	0	3	2	4499	4097	1	4	3,09E-05	1

	420492	421715		+	-	SCO0399	hypothetical protein	2	2	0	1	4436	4448	0	2474	0	2	4	2	6038	4403	1	4	0,254650079	1

	421712	422263		+	-	SCO0400	epimerase	0	0	0	0	398	740	0	0	0	0	2	1	3522	2102	1	5	1,50E-07	1

	422271	423596		+	-	SCO0401	glutamate-1-semialdehyde 2,1-aminomutase	0	3	1	1	698	5896	4219	3004	1	2	5	6	6180	9953	1	6	0,131842322	1

424507	424406	423654	423654	-	-	SCO0402	hypothetical protein	23	21	10	15	45811	34510	21649	30858	17	44	41	37	50828	59215	24	73	0,297570592	1

425226	425226	424609	424559	-	-	SCO0403	hypothetical protein	5	4	10	4	11134	8100	22788	9870	8	20	20	22	25197	35670	16	49	0,043004461	0,6138122

	425243	425983		+	-	SCO0404	2-haloalkanoic acid dehalogenase	0	0	2	3	1096	0	4308	7107	1	4	4	2	5037	3730	2	5	0,692499801	1

426833	426833	426015	426015	-	-	SCO0405	hypothetical protein	38	43	27	18	74604	71072	58621	37259	29	73	35	51	44153	80062	24	75	0,530635096	1

	426893	427606		+	-	SCO0406	hypothetical protein	2	1	3	2	5397	1874	6556	4205	2	6	6	1	8170	2247	2	7	0,906190438	1

	427610	428614		+	-	SCO0407	transcriptional regulator	5	13	4	10	11241	22677	9012	20308	6	15	19	22	23479	34859	9	29	0,195696224	1

	428615	429403	429403	+	-	SCO0408	methyltransferase	9	12	7	8	19289	19515	14994	17434	8	22	60	19	73819	30754	23	66	0,001566591	0,081419103

430001	429956	429492	429475	-	-	SCO0409	spore-associated protein	147	127	17	40	286913	207191	37010	81495	131	329	126	107	155346	169069	116	348	0,475010989	1

	431321	430071		-	-	SCO0410	hypothetical protein	0	2	9	3	1572	4352	20738	7368	2	6	16	8	19690	13156	4	13	0,224109605	1

431327	431327	431551		+	-	SCO0411	hypothetical protein	6	7	8	3	13056	12517	17827	7870	22	56	18	10	23355	16611	30	88	0,459733775	1

	431551	431934	431994	+	-	SCO0412	hypothetical protein	6	9	5	11	11940	15493	12310	23360	16	41	25	17	31804	27903	26	77	0,170036057	1

432585	432564	431962	431936	-	-	SCO0413	hypothetical protein	20	14	19	26	39753	23095	41249	54293	25	65	29	20	36878	32214	19	57	0,366626748	1

	433513	432617		-	-	SCO0414	RNA polymerase sigma factor	8	7	6	6	17532	12509	13944	12242	6	15	18	15	22793	24554	8	26	0,31256184	1

	433615	433977		+	-	SCO0415	hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	1	1149	1697	1	3	1	1

	434589	433984		-	-	SCO0416	hypothetical protein	0	2	0	0	0	4714	0	0	0	1	0	0	0	871	0	0	0,137374662	1

	435397	434651		-	-	SCO0417	hypothetical protein	0	0	0	0	0	0	0	0	0	0	1	0	2070	833	0	1	1	1

	435456	436103		+	-	SCO0418	DNA-binding protein	0	0	0	0	0	0	0	967	0	0	0	0	0	0	0	0	1	1

	436235	437224		+	-	SCO0419	zinc-binding oxidoreductase	2	2	1	1	5261	3555	2951	3935	1	3	1	1	1693	2553	0	2	0,204246105	1

	438287	437253		-	-	SCO0420	homoserine dehydrogenase	4	8	6	3	9183	14319	14023	8000	4	10	6	9	7867	14616	3	10	0,685131937	1

	438988	438329		-	-	SCO0421	two-component response regulator	8	6	1	1	16920	9950	3149	2837	4	12	2	4	3597	7254	2	8	0,162855381	1

